source,rank,keyword,tfidf
국외여비규정,1,지급한다,0.6155943901056558
국외여비규정,2,외국,0.21108944096395574
국외여비규정,3,금액,0.21108944096395574
국외여비규정,4,가족,0.1846783170316967
국외여비규정,5,전액,0.16415850402817486
국외여비규정,6,허가,0.16415850402817486
국외여비규정,7,지역,0.16415850402817486
국외여비규정,8,따라서,0.1479412056596812
국외여비규정,9,본인,0.1459486735619965
국외여비규정,10,자녀,0.1459486735619965
국외여비규정,11,배우자,0.14363869102465301
국외여비규정,12,일시,0.14072629397597047
국외여비규정,13,때에,0.12247726677124203
국외여비규정,14,인하여,0.11849055366849115
국외여비규정,15,받아,0.11849055366849115
근무성적 평가지침,1,업적평정,0.41852928944409795
근무성적 평가지침,2,평정,0.2354227253123051
근무성적 평가지침,3,평가,0.2354227253123051
근무성적 평가지침,4,직원,0.22429679980377448
근무성적 평가지침,5,점수,0.18310656413179283
근무성적 평가지침,6,산출한다,0.18310656413179283
근무성적 평가지침,7,역량평정,0.18310656413179283
근무성적 평가지침,8,편람,0.15694848354153673
근무성적 평가지침,9,성과연봉,0.15694848354153673
근무성적 평가지침,10,2차,0.15694848354153673
근무성적 평가지침,11,당해,0.14242626271441353
근무성적 평가지침,12,부여한다,0.14242626271441353
근무성적 평가지침,13,위원장,0.1307904029512806
근무성적 평가지침,14,등급,0.1307904029512806
근무성적 평가지침,15,위원회,0.12207965375521158
보수규정,1,연봉,0.44970151048043144
보수규정,2,지급한다,0.41131912186053776
보수규정,3,직원,0.22396192937997184
보수규정,4,징계처분,0.19079591695722067
보수규정,5,지급하지,0.17883440080892946
보수규정,6,받은,0.16409757734848024
보수규정,7,보수,0.15706672512419922
보수규정,8,성과연봉,0.14308684424377363
보수규정,9,기간,0.14065506629869734
보수규정,10,개인,0.12264586649466312
보수규정,11,급여,0.12264586649466312
보수규정,12,인한,0.11423034554487217
보수규정,13,수당,0.10730064048535767
보수규정,14,기본연봉,0.10220488874555261
보수규정,15,평균임금,0.10220488874555261
복무규정,1,직원,0.6622542125488725
복무규정,2,휴가,0.2919438463489764
복무규정,3,1일,0.1807271429779378
복무규정,4,임신,0.1529229671351781
복무규정,5,기간,0.15146284146797834
복무규정,6,때에,0.12341286596669249
복무규정,7,자녀,0.11894847568974068
복무규정,8,근로자,0.1053491457474361
복무규정,9,된다,0.09732148010978782
복무규정,10,사용하지,0.0973146154496588
복무규정,11,시간,0.0973146154496588
복무규정,12,질병,0.0973014733024188
복무규정,13,직무,0.09437454456276484
복무규정,14,필요한,0.09271558975684216
복무규정,15,이내,0.08711496421178293
업무인계인수지침,1,지침,0.4558166062810609
업무인계인수지침,2,시행한다,0.3418624547107957
업무인계인수지침,3,작성,0.23262497300145968
업무인계인수지침,4,서류,0.23262497300145968
업무인계인수지침,5,업무,0.18094792029711784
업무인계인수지침,6,결재,0.15193886876035365
업무인계인수지침,7,사유,0.13884761460088713
업무인계인수지침,8,서식,0.1326687812865524
업무인계인수지침,9,기준일,0.11395415157026523
업무인계인수지침,10,인계인수자,0.11395415157026523
업무인계인수지침,11,7월,0.11395415157026523
업무인계인수지침,12,날부터,0.10613502502924194
업무인계인수지침,13,소관부서,0.09969641700062556
업무인계인수지침,14,업무분장,0.09969641700062556
업무인계인수지침,15,시에,0.09969641700062556
인사규정,1,직원,0.45961592091144177
인사규정,2,위원회,0.20250926728796997
인사규정,3,휴직기간,0.19059695744750116
인사규정,4,징계,0.17418171674791158
인사규정,5,위원장,0.16846221283983304
인사규정,6,말한다,0.14294771808562587
인사규정,7,해당하,0.14050839301827997
인사규정,8,기간,0.13172661845463748
인사규정,9,이내,0.12795618532658262
인사규정,10,정직,0.12251797297442403
인사규정,11,위원,0.12058734236393878
인사규정,12,직무,0.1199589237436712
